UserID,ISBN,BookRating
276725,034545104X,2
276726,155061224,10
276727,446520802,6
276729,052165615X,5
276729,521795028,2
276733,2080674722,7
276736,3257224281,7
276737,600570967,10
276744,038550120X,8
276745,342310538,10
276746,425115801,2
276746,449006522,4
276746,553561618,1
276746,055356451X,8
276746,786013990,10
276746,786014512,4
276747,60517794,3
276747,451192001,6
276747,609801279,3
276747,671537458,5
276747,679776818,10
276747,943066433,1
276747,1570231028,4
276747,1885408226,8
276748,747558167,4
276748,3442437407,1
276751,033390804X,7
276751,3596218098,1
276754,684867621,1
276755,451166892,4
276760,8440682697,7
276762,034544003X,5
276762,380000059,10
276762,380711524,1
276762,451167317,6
276762,451454952,1
276762,843920262,5
276762,3404122879,2
276762,3404182928,4
276762,3404611306,9
276762,342662429,7
276762,3426690179,7
276762,3442424216,1
276762,3442425573,6
276762,3453092007,4
276762,3453157745,2
276762,3453176944,6
276762,3453185137,10
276762,3453185323,6
276762,3453213025,8
276762,3453877241,6
276762,3492226604,3
276762,3517017442,2
276762,3596125006,6
276762,B0000BLD7X,1
276762,N3453124715,8
276765,9029716894,9
276768,9057868059,1
276772,140279091,5
276772,553572369,5
276772,571058086,10
276772,3499230933,10
276772,3596151465,9
276774,99543818,1
276774,3404147723,3
276774,3423111321,9
276774,3442136644,3
276774,3492232000,8
276780,8434811634,7
276780,8484330478,2
276780,8484332039,6
276786,2864322102,6
276786,8402065945,10
276786,8423314901,6
276786,842333533X,4
276786,8427911769,7
276786,8433914456,6
276786,8437606322,2
276786,8445072919,10
276786,8466300821,2
276786,847765011X,5
276786,8478442588,5
276786,8495368099,6
276788,345443683,10
276788,043935806X,10
276788,055310666X,8
276796,330332775,5
276796,330367358,6
276798,6379702,10
276798,3423084049,9
276798,3442131340,7
276798,3442437407,1
276798,3446202102,2
276798,3453073398,3
276798,3453115783,1
276798,3499134004,1
276798,349915398X,2
276798,3548603203,9
276798,3764501383,6
276798,3791535889,5
276800,61054143,7
276800,61054151,10
276800,61056774,3
276800,671021346,9
276800,671024108,8
276800,1562827898,2
276803,9726954835,6
276804,64405176,9
276804,439104769,4
276804,440498058,7
276806,8807817144,4
276806,8845915913,6
276808,395547032,3
276811,440414121,1
276812,8879839993,8
276813,8401328322,1
276813,8401461189,8
276813,8401471796,1
276813,8423996565,6
276813,8424130081,9
276813,8426449476,6
276813,8426449573,1
276813,8478884831,2
276813,8478885218,2
276813,8478885463,10
276813,8478886044,4
276813,8495618052,2
276814,91830893,7
276814,586207414,3
276814,812571029,7
276817,671749609,8
276820,140062718,5
276820,140260498,2
276822,60096195,5
276822,141310340,6
276822,142302198,6
276822,156006065,9
276822,375821813,5
276822,038076041X,3
276822,439087597,7
276822,439401399,9
276822,552546933,6
276822,689804458,8
276822,699854289,9
276822,786812508,9
276822,786817070,9
276822,805057706,8
276822,1551925060,6
276822,1573248533,10
276827,000651118X,3
276828,385272324,3
276828,2038701962,7
276828,2070264564,6
276828,2070334430,8
276828,2070403734,1
276828,2080680676,1
276828,2232122263,9
276828,2253044903,2
276828,2253150711,5
276828,2266076000,5
276828,2277221678,6
276828,2290321028,10
276828,2842190009,1
276830,440225825,4
276832,316781266,9
276832,345446860,5
276833,671876244,6
276835,3125785006,3
276837,380005239,8
276838,1593080255,1
276840,330201700,6
276840,385729340,5
276842,3809407536,2
276847,446364193,6
276847,3257200552,6
276847,3379015180,2
276847,3404145909,7
276847,3404148576,2
276847,3404921178,5
276847,3423071516,3
276847,3423204885,6
276847,3423205806,3
276847,3426029553,6
276847,3426622610,4
276847,3426671298,9
276847,344215121X,2
276847,3442413508,9
276847,3442422035,7
276847,3442435773,1
276847,3442437717,10
276847,3442441080,4
276847,3442442796,2
276847,3442444020,1
276847,3442446414,5
276847,3442448530,9
276847,3442449820,6
276847,3453137442,4
276847,3453870190,5
276847,3455077331,8
276847,347354034X,8
276847,3492231322,9
276847,349912176X,4
276847,3499222213,8
276847,3499228297,8
276847,3499232529,2
276847,3499233436,4
276847,3499264528,8
276847,3499433443,10
276847,3506464078,3
276847,3548602967,7
276847,3551551677,9
276847,3551551685,6
276847,3551551693,10
276847,3551551936,8
276847,359621078X,8
276847,3608932240,1
276847,360893541X,10
276847,3608935428,3
276847,3608935436,4
276847,374661922X,5
276847,3770131495,10
276847,3809024589,8
276847,3821815191,6
276847,3932069234,8
276848,3423100424,2
276848,3442096596,7
276848,3442440777,3
276848,3453009304,5
276848,3453042905,1
276848,3453061187,5
276848,3453071174,3
276848,3453127013,3
276848,3453211014,8
276848,3462026062,10
276848,349926028X,4
276848,3596122279,9
276848,3596287200,4
276848,3922524443,10
276850,449217264,4
276852,140621741,8
276852,055321358X,9
276853,8420457477,10
276853,8448034023,10
276854,671034944,9
276854,074931012X,9
276854,843946415,6
276856,2010173929,1
276856,20103389,10
276856,2012003494,6
276856,2013218826,4
276856,2013220162,9
276856,207033015X,3
276856,2070332985,5
276856,2203142278,7
276856,2205040561,8
276856,221096900X,8
276856,2253005274,9
276856,2723402983,10
276856,2747002748,2
276856,2800108584,8
276856,2800134259,3
276856,2800134267,4
276856,2800135522,1
276856,2800135565,9
276856,2800135719,2
276856,2800135727,5
276856,2803616998,9
276856,2907572458,7
276857,8439598459,1
276859,014014899X,5
276859,140252517,4
276859,140269967,5
276859,140328742,2
276859,140366830,5
276859,140367446,1
276859,425131378,3
276859,517642689,1
276859,600571165,6
276859,077104450X,6
276859,789706032,10
276859,836218833,10
276859,836220889,7
276859,088365721X,10
276859,1559712252,10
276859,1567616089,5
276859,2890510328,10
276859,3257227264,3
276861,141011904,1
276861,342313075X,8
276861,3423201509,8
276861,3423206616,3
276861,344242529,8
276861,3446200452,6
276861,349223903X,3
276861,3499231603,3
276861,360893541X,9
276861,3608935428,7
276861,3608935436,6
276861,3704320196,3
276861,3886807843,3
276862,345423402,2
276862,1569312435,9
276862,1892213141,2
276863,8530805461,2
276866,3257218516,9
276866,3404126343,1
276866,3404131606,2
276866,3404139178,6
276866,3404143299,1
276866,3404614542,3
276866,340645724X,10
276866,3426192543,8
276866,3426702266,4
276866,3442421357,1
276866,3442443806,4
276866,345309221X,10
276866,3453108361,4
276866,3453126912,5
276866,3453130901,6
276866,3453132262,1
276866,3596129389,3
276866,3596237874,6
276866,3596247500,8
276866,3809410357,2
276869,345249372,1
276869,044020562X,7
276870,9026935722,5
276872,425167097,3
276872,042518109X,9
276872,425188221,5
276872,8500010452,3
276872,8501023450,2
276872,8571648972,5
276872,8588615126,1
276872,8589885291,4
276873,009975181X,9
276875,273755,6
276875,14366020444,7
276875,688172377,1
276875,8481305464,2
276875,8496075850,1
276875,8804321008,3
276875,8804375299,3
276875,8804407808,1
276875,8804464895,8
276875,8804510579,2
276875,8804512652,8
276875,8806144146,1
276875,8806155873,4
276875,8807700735,1
276875,8807806746,7
276875,8807810751,2
276875,880781112X,1
276875,8807812495,4
276875,8807813157,10
276875,8807816059,6
276875,8817106100,10
276875,8817112917,5
276875,8817877028,8
276875,8820024381,9
276875,883041915X,9
276875,8831760122,3
276875,8833908488,7
276875,8838910987,9
276875,8842806978,3
276875,8845219747,9
276875,8845249689,6
276875,8846200624,7
276875,88741800047,1
276875,8876846565,4
276875,8877825200,1
276875,8879285513,10
276875,8879285645,3
276875,8879832905,5
276875,8881110288,2
276875,888634712X,1
276875,8887432252,5
276875,8888424121,7
276878,449210197,1
276879,8817151068,3
276884,151446474,10
276884,8433967606,1
276884,8496280012,4
276884,899792145,4
276884,B158991965,7
276887,64430227,7
276887,671723650,4
276887,812533550,7
276888,8806162160,10
276888,884590184X,2
276889,446613843,6
276890,140270272,10
276896,440241537,8
276904,99460343,5
276904,375901582,6
276904,439317746,3
276904,440228840,6
276904,440414121,8
276904,738205737,6
276904,1566911605,7
276905,60542845,3
276905,449148831,6
276905,1551666308,3
276911,8420430943,8
276911,8420636282,8
276911,8432205311,8
276912,000225669X,4
276912,99549611,10
276912,701162767,3
276912,1852422580,10
276915,042513976X,4
276916,441008291,4
276925,6511929,7
276925,002542730X,10
276925,60520507,10
276925,60930934,1
276925,60951303,1
276925,99414732,9
276925,140154078,5
276925,140327592,9
276925,140367616,5
276925,141181222,2
276925,151010633,8
276925,192834312,4
276925,194216748,3
276925,240514866,1
276925,316666343,2
276925,345391810,9
276925,375400699,6
276925,385504209,10
276925,043527242X,3
276925,439284031,4
276925,439286182,10
276925,439286239,10
276925,449221148,3
276925,451527747,10
276925,486282112,4
276925,486424499,7
276925,553275283,7
276925,582530431,9
276925,590502123,8
276925,595132189,3
276925,613329740,5
276925,063403541X,7
276925,067172939X,8
276925,671729438,8
276925,671746502,8
276925,679721851,6
276925,679745580,5
276925,691000980,6
276925,747545111,2
276925,749931434,6
276925,754000117,6
276925,804106304,8
276925,812583566,4
276925,843128240,4
276925,879517344,1
276925,971880107,10
276925,1400001625,7
276925,1400002672,2
276925,1853262404,6
276925,2061007074,7
276925,2266095536,6
276925,2290309494,1
276925,2742739351,1
276925,3522149904,1
276925,3775713328,2
276925,8401009421,6
276925,8401327199,5
276925,8401462231,3
276925,840149236X,4
276925,8408011200,6
276925,8420427462,2
276925,8420432113,1
276925,8420444367,10
276925,8420789895,6
276925,8422655500,4
276925,8422657104,10
276925,842265783X,6
276925,8422693445,6
276925,8423325105,3
276925,8423662152,3
276925,8423951537,1
276925,8423970647,6
276925,8423976645,4
276925,8426109799,3
276925,8427007450,1
276925,8429712372,6
276925,8429714936,3
276925,842975295,2
276925,8429753419,7
276925,8432227706,2
276925,8434830809,1
276925,8434840391,4
276925,8440627203,4
276925,8440696833,7
276925,8445071572,8
276925,8447306194,4
276925,8447312054,4
276925,8449416078,5
276925,8472453723,10
276925,8473068971,5
276925,8474104823,8
276925,8474263123,8
276925,8475071163,7
276925,8475961290,6
276925,8476722338,2
276925,8478809783,3
276925,8482180088,8
276925,8483221306,7
276925,8489163499,10
276925,8495501090,10
276925,8495501198,5
276925,8496077152,6
276925,8496077209,1
276925,8496246140,8
276925,8497931467,4
276925,950491036X,3
276925,9508521481,10
276925,9871138016,7
276927,460010239,2
276927,749336145,8
276927,1899344705,7
276928,439135494,7
276928,059030271X,3
276928,590453661,3
276928,590470108,5
276928,590483404,1
276928,671021354,10
276928,671026283,4
276928,671027506,1
276928,671727109,10
276929,60964049,6
276929,380807343,4
276929,439064864,8
276929,2.02.032126.2,7
276929,2.264.03602.8,10
276929,2020058863,10
276929,2020062399,7
276929,2020101653,8
276929,202011528X,2
276929,20202006935,9
276929,20203119888,5
276929,2020386666,3
276929,2020564777,10
276929,2020591944,9
276929,2070365832,7
276929,2070378411,1
276929,2070386023,7
276929,2070394956,8
276929,2070404587,5
276929,2070404706,2
276929,2070404722,2
276929,2070406962,1
276929,2070408450,2
276929,2070425770,1
276929,2070725804,2
276929,2080680692,10
276929,2226070109,2
276929,2226126570,2
276929,2226135022,4
276929,2253030570,10
276929,2253049417,4
276929,2253050407,6
276929,2253055972,9
276929,225307659X,1
276929,2253171670,7
276929,2253172367,9
276929,2264010991,2
276929,2264013257,1
276929,2264018194,5
276929,2264024674,9
276929,226402593X,3
276929,2264027568,10
276929,2264029463,3
276929,226403114,7
276929,2264031158,5
276929,2264033282,4
276929,226403601X,6
276929,2264036036,3
276929,2266040820,2
276929,2266047280,4
276929,226604960,8
276929,22660861003,8
276929,2266096451,5
276929,2266102028,9
276929,2266102621,9
276929,2266104535,2
276929,2266105698,10
276929,2266121367,2
276929,2277302228,7
276929,2290303488,4
276929,2290308285,4
276929,2290312924,3
276929,2290315524,6
276929,2290321559,7
276929,2702424131,7
276929,2742724028,10
276929,2742724613,9
276929,2742729038,3
276929,2743602295,10
276929,2841469824,9
276929,2842611462,1
276929,2868696627,9
276929,2869304129,10
276929,2869304560,9
276929,2869304870,5
276929,2869305583,1
276929,2895400644,10
276929,2907572121,3
276929,290757213X,2
276934,1566190096,2
276936,749317256,7
276936,3453150538,2
276936,3492224628,1
276936,3492224768,1
276936,3596122279,10
276936,3596147700,1
276939,60011939,2
276939,99283697,7
276939,140187758,9
276939,316154601,3
276939,059035342X,2
276939,713628944,9
276939,752844040,8
276939,971880107,2
276939,1853260665,10
276939,2070414256,7
276939,2070419657,2
276939,2253063339,7
276939,2253137243,1
276939,2253144452,9
276939,2253152072,6
276939,2264027134,8
276939,226612269X,4
276939,2290318329,7
276939,2702400612,5
276939,2702401694,10
276939,2878580753,10
276939,8408040383,10
276939,8423310353,9
276939,844140321X,6
276939,8484601072,4
276943,330373269,9
276946,8882461327,4
276949,349202436X,2
276950,8807813858,10
276953,140182551,9
276953,446310786,8
276953,886776783,2
276954,971880107,10
276954,3257008155,3
276954,329300301X,10
276954,3419528078,8
